Name,Specialization,ID,school,year,Generation,advisor_id
Joseph  Lovering,artificial-intelligence-and-machine-learning,132487,Harvard University,1833,9,80886
Hermann Ludwig Ferdinand von Helmholtz,artificial-intelligence-and-machine-learning,49057,Universität Berlin,1842,9,23194
Owen W. Richardson,artificial-intelligence-and-machine-learning,90415,University of London,1904,9,50701
Michel  Chasles,artificial-intelligence-and-machine-learning,26995,École Polytechnique,1814,9,17865
John  Trowbridge,artificial-intelligence-and-machine-learning,67041,Harvard University,1873,9,132487
Christian Ludwig Gerling,artificial-intelligence-and-machine-learning,29642,Georg-August-Universität Göttingen,1812,10,18231
Martin  Ohm,artificial-intelligence-and-machine-learning,47064,Friedrich-Alexander-Universität Erlangen-Nürnberg,1811,10,47025
Gustav Peter Lejeune Dirichlet,artificial-intelligence-and-machine-learning,17946,Rheinische Friedrich-Wilhelms-Universität Bonn,1827,10,17981;17865;
Carl Friedrich Gauß,artificial-intelligence-and-machine-learning,18231,Universität Helmstedt,1799,10,18230
Karl Christian von Langsdorf,artificial-intelligence-and-machine-learning,47025,Georg-August-Universität Göttingen and Justus-Liebig-Universität Gießen and Universität Erfurt,1781,10,66476
Jean-Baptiste Joseph Fourier,artificial-intelligence-and-machine-learning,17981,École Normale Supérieure,ure,10,17864
Siméon Denis Poisson,artificial-intelligence-and-machine-learning,17865,École Polytechnique,1800,10,17864;108295;
Nathaniel  Bowditch,artificial-intelligence-and-machine-learning,147797,,,10,None
Joseph Louis Lagrange,artificial-intelligence-and-machine-learning,17864,,ee,10,38586;146036;
Pierre-Simon  Laplace,artificial-intelligence-and-machine-learning,108295,Université de Caen Normandie,1769,10,108266
H. A. (Hubert Anson) Newton,artificial-intelligence-and-machine-learning,7865,Yale University,1850,10,26995
William  Hopkins,artificial-intelligence-and-machine-learning,42016,University of Cambridge,1830,10,102043
Isaac  Todhunter,artificial-intelligence-and-machine-learning,129420,University of Cambridge,1848,10,42016
Thomas  Postlethwaite,artificial-intelligence-and-machine-learning,133301,University of Cambridge,1756,10,133367
John  Cranke,artificial-intelligence-and-machine-learning,103066,University of Cambridge,1774,10,None
Edward  Waring,artificial-intelligence-and-machine-learning,129421,University of Cambridge,1760,10,None
Henry  Bracken,artificial-intelligence-and-machine-learning,129422,Universiteit Leiden,den,10,101856
Thomas  Jones,artificial-intelligence-and-machine-learning,102036,University of Cambridge,1782,10,133301;103066;
John  Dawson,artificial-intelligence-and-machine-learning,102037,,,10,129421;129422;
Joseph Louis Lagrange,artificial-intelligence-and-machine-learning,17864,,ee,10,38586;146036;
Pierre-Simon  Laplace,artificial-intelligence-and-machine-learning,108295,Université de Caen Normandie,1769,10,108266
Enno Heeren Dirksen,artificial-intelligence-and-machine-learning,41423,Georg-August-Universität Göttingen,1820,10,57659;57667;
