Name,Specialization,ID,school,year,Generation,advisor_id
Gösta Magnus Mittag-Leffler,algorithms-and-complexity,19770,Uppsala Universitet,1872,6,24894
C. Felix (Christian) Klein,algorithms-and-complexity,7401,Rheinische Friedrich-Wilhelms-Universität Bonn,1868,6,7402;19964;
C. Felix (Christian) Klein,algorithms-and-complexity,7401,Rheinische Friedrich-Wilhelms-Universität Bonn,1868,6,7402;19964;
E. H. (Eliakim Hastings) Moore,algorithms-and-complexity,806,Yale University,1885,6,7865
William  Hopkins,algorithms-and-complexity,42016,University of Cambridge,1830,6,102043
Isaac  Todhunter,algorithms-and-complexity,129420,University of Cambridge,1848,6,42016
E. H. (Eliakim Hastings) Moore,algorithms-and-complexity,806,Yale University,1885,6,7865
Cassius Jackson Keyser,algorithms-and-complexity,37346,Columbia University,1902,6,None
Frank Nelson Cole,algorithms-and-complexity,7611,Harvard University,1886,6,7401
George Washington Pierce,algorithms-and-complexity,141987,Harvard University,1900,6,67041
Oswald  Veblen,algorithms-and-complexity,805,The University of Chicago,1903,6,806
John  Trowbridge,algorithms-and-complexity,67041,Harvard University,1873,6,132487
Carl Gottfried Neumann,algorithms-and-complexity,32858,Universität Königsberg,1856,6,46967;57706;
Wilhelm  Scheibner,algorithms-and-complexity,18589,Martin-Luther-Universität Halle-Wittenberg,1848,6,15635
Ferdinand Georg Frobenius,algorithms-and-complexity,4642,Humboldt-Universität zu Berlin,1870,6,18331;7486;
Lazarus Immanuel Fuchs,algorithms-and-complexity,11370,Universität Berlin,1858,6,18331;7486;
C. L. Ferdinand (Carl Louis) Lindemann,algorithms-and-complexity,7404,Friedrich-Alexander-Universität Erlangen-Nürnberg,1873,6,7401
Carl Gottfried Neumann,algorithms-and-complexity,32858,Universität Königsberg,1856,6,46967;57706;
Wilhelm  Scheibner,algorithms-and-complexity,18589,Martin-Luther-Universität Halle-Wittenberg,1848,6,15635
William Edward Story,algorithms-and-complexity,7451,Universität Leipzig,1875,6,32858;18589;
Solomon  Lefschetz,algorithms-and-complexity,7461,Clark University,1911,6,7451
Boris Nikolaevich Delone,algorithms-and-complexity,74408,Kiev State University,ity,6,12544;73323;
Moritz  Réthy,algorithms-and-complexity,90711,Ruprecht-Karls-Universität Heidelberg,1874,6,18336
Albert William Tucker,algorithms-and-complexity,8581,Princeton University,1932,6,7461
George Washington Pierce,algorithms-and-complexity,141987,Harvard University,1900,6,67041
George Washington Pierce,algorithms-and-complexity,141987,Harvard University,1900,6,67041
William Edward Story,algorithms-and-complexity,7451,Universität Leipzig,1875,6,32858;18589;
Oswald  Veblen,algorithms-and-complexity,805,The University of Chicago,1903,6,806
Gösta Magnus Mittag-Leffler,algorithms-and-complexity,19770,Uppsala Universitet,1872,6,24894
C. Felix (Christian) Klein,algorithms-and-complexity,7401,Rheinische Friedrich-Wilhelms-Universität Bonn,1868,6,7402;19964;
C. Felix (Christian) Klein,algorithms-and-complexity,7401,Rheinische Friedrich-Wilhelms-Universität Bonn,1868,6,7402;19964;
E. H. (Eliakim Hastings) Moore,algorithms-and-complexity,806,Yale University,1885,6,7865
William  Hopkins,algorithms-and-complexity,42016,University of Cambridge,1830,6,102043
Isaac  Todhunter,algorithms-and-complexity,129420,University of Cambridge,1848,6,42016
E. H. (Eliakim Hastings) Moore,algorithms-and-complexity,806,Yale University,1885,6,7865
Cassius Jackson Keyser,algorithms-and-complexity,37346,Columbia University,1902,6,None
Frank Nelson Cole,algorithms-and-complexity,7611,Harvard University,1886,6,7401
George Washington Pierce,algorithms-and-complexity,141987,Harvard University,1900,6,67041
Oswald  Veblen,algorithms-and-complexity,805,The University of Chicago,1903,6,806
John  Trowbridge,algorithms-and-complexity,67041,Harvard University,1873,6,132487
Carl Gottfried Neumann,algorithms-and-complexity,32858,Universität Königsberg,1856,6,46967;57706;
Wilhelm  Scheibner,algorithms-and-complexity,18589,Martin-Luther-Universität Halle-Wittenberg,1848,6,15635
Ferdinand Georg Frobenius,algorithms-and-complexity,4642,Humboldt-Universität zu Berlin,1870,6,18331;7486;
Lazarus Immanuel Fuchs,algorithms-and-complexity,11370,Universität Berlin,1858,6,18331;7486;
C. L. Ferdinand (Carl Louis) Lindemann,algorithms-and-complexity,7404,Friedrich-Alexander-Universität Erlangen-Nürnberg,1873,6,7401
Carl Gottfried Neumann,algorithms-and-complexity,32858,Universität Königsberg,1856,6,46967;57706;
Wilhelm  Scheibner,algorithms-and-complexity,18589,Martin-Luther-Universität Halle-Wittenberg,1848,6,15635
William Edward Story,algorithms-and-complexity,7451,Universität Leipzig,1875,6,32858;18589;
William Edward Story,algorithms-and-complexity,7451,Universität Leipzig,1875,7,32858;18589;
Georgy Fedoseevich Voronoy,algorithms-and-complexity,12544,St. Petersburg State University,1896,7,12543
Dmitry Aleksandrovich Grave,algorithms-and-complexity,73323,St. Petersburg State University,1896,7,55611
Leo  Königsberger,algorithms-and-complexity,18336,Universität Berlin,1860,7,18331;7486;
Solomon  Lefschetz,algorithms-and-complexity,7461,Clark University,1911,7,7451
John  Trowbridge,algorithms-and-complexity,67041,Harvard University,1873,7,132487
John  Trowbridge,algorithms-and-complexity,67041,Harvard University,1873,7,132487
Carl Gottfried Neumann,algorithms-and-complexity,32858,Universität Königsberg,1856,7,46967;57706;
Wilhelm  Scheibner,algorithms-and-complexity,18589,Martin-Luther-Universität Halle-Wittenberg,1848,7,15635
E. H. (Eliakim Hastings) Moore,algorithms-and-complexity,806,Yale University,1885,7,7865
Göran  Dillner,algorithms-and-complexity,24894,Uppsala Universitet,1863,7,167682
Julius  Plücker,algorithms-and-complexity,7402,Philipps-Universität Marburg,1823,7,29642
Rudolf Otto Sigismund Lipschitz,algorithms-and-complexity,19964,Universität Berlin,1853,7,17946;47064;
Julius  Plücker,algorithms-and-complexity,7402,Philipps-Universität Marburg,1823,7,29642
Rudolf Otto Sigismund Lipschitz,algorithms-and-complexity,19964,Universität Berlin,1853,7,17946;47064;
H. A. (Hubert Anson) Newton,algorithms-and-complexity,7865,Yale University,1850,7,26995
Adam  Sedgwick,algorithms-and-complexity,102043,University of Cambridge,1811,7,102037;102036;
William  Hopkins,algorithms-and-complexity,42016,University of Cambridge,1830,7,102043
H. A. (Hubert Anson) Newton,algorithms-and-complexity,7865,Yale University,1850,7,26995
C. Felix (Christian) Klein,algorithms-and-complexity,7401,Rheinische Friedrich-Wilhelms-Universität Bonn,1868,7,7402;19964;
John  Trowbridge,algorithms-and-complexity,67041,Harvard University,1873,7,132487
E. H. (Eliakim Hastings) Moore,algorithms-and-complexity,806,Yale University,1885,7,7865
Joseph  Lovering,algorithms-and-complexity,132487,Harvard University,1833,7,80886
Otto  Hesse,algorithms-and-complexity,46967,Universität Königsberg,1840,7,15635
Friedrich Julius Richelot,algorithms-and-complexity,57706,Universität Königsberg,1831,7,15635
Carl Gustav Jacob Jacobi,algorithms-and-complexity,15635,Humboldt-Universität zu Berlin,1825,7,41423
Ernst Eduard Kummer,algorithms-and-complexity,18331,Martin-Luther-Universität Halle-Wittenberg,1831,7,25484
Karl Theodor Wilhelm Weierstraß,algorithms-and-complexity,7486,Westfälische Wilhelms-Universität Münster,1841,7,29458
Ernst Eduard Kummer,algorithms-and-complexity,18331,Martin-Luther-Universität Halle-Wittenberg,1831,7,25484
Karl Theodor Wilhelm Weierstraß,algorithms-and-complexity,7486,Westfälische Wilhelms-Universität Münster,1841,7,29458
C. Felix (Christian) Klein,algorithms-and-complexity,7401,Rheinische Friedrich-Wilhelms-Universität Bonn,1868,7,7402;19964;
Otto  Hesse,algorithms-and-complexity,46967,Universität Königsberg,1840,7,15635
Friedrich Julius Richelot,algorithms-and-complexity,57706,Universität Königsberg,1831,7,15635
